Symbol,Name,Price,Change,Market_Cap,PE_Ratio,RK
MSFT,Microsoft Corporation,446.95,-5.9,3.322T,38.76,1
AAPL,Apple Inc.,210.62,-3.48,3.23T,32.81,2
NVDA,NVIDIA Corporation,123.54,-0.45,3.039T,72.67,3
GOOG,Alphabet Inc.,183.42,-3.44,2.258T,28.09,4
META,"Meta Platforms, Inc.",504.22,-15.34,1.279T,28.98,6
TSM,Taiwan Semiconductor Manufacturing Company Limited,173.81,2.18,901.403B,33.82,7
LLY,Eli Lilly and Company,905.38,-3.66,815.209B,133.34,8
AVGO,Broadcom Inc.,"1,605.53",18.87,747.355B,69,9
NVO,Novo Nordisk A/S,142.74,-1.75,642.927B,50.08,10
NONOF,Novo Nordisk A/S,145,1.13,641.357B,50.88,11
HTHIY,"Hitachi, Ltd.",225.11,-3.18,521.197B,28.57,12
UNH,UnitedHealth Group Incorporated,509.26,22.82,468.715B,31.05,13
ASML,ASML Holding N.V.,"1,022.73",-5.28,404.129B,53.13,14
ASMLF,ASML Holding N.V.,"1,000.55",-74.45,396.921B,51.92,15
ORCL,Oracle Corporation,141.2,1.02,389.127B,38.06,16
JNJ,Johnson & Johnson,146.16,0.36,351.76B,21.75,17
MRK,"Merck & Co., Inc.",123.8,-6.02,313.562B,137.56,18
ABBV,AbbVie Inc.,171.52,2.53,302.882B,51.05,19
NFLX,"Netflix, Inc.",674.88,-9.46,290.806B,46.7,20
AMD,"Advanced Micro Devices, Inc.",162.21,2.74,262.182B,231.73,21
CRM,"Salesforce, Inc.",257.1,4.25,249.13B,46.32,22
ADBE,Adobe Inc.,555.54,8.78,246.326B,50,23
AZNCF,AstraZeneca PLC,157.5,0,244.166B,38.89,24
SAPGF,SAP SE,202,1,238.776B,93.52,25
SAP,SAP SE,201.71,0.96,236.878B,93.38,26
RHHVF,Roche Holding AG,276.73,-8.17,223.855B,17.34,27
QCOM,QUALCOMM Incorporated,199.18,4.03,222.285B,26.52,28
NVSEF,Novartis AG,104,-2,218.311B,23.64,29
NVS,Novartis AG,106.46,-0.09,218.31B,24.2,30
TMO,Thermo Fisher Scientific Inc.,553,2.22,211.089B,35.47,31
TMUS,"T-Mobile US, Inc.",176.18,-1.24,207.033B,23.97,32
AMAT,"Applied Materials, Inc.",235.99,3.46,195.394B,27.09,33
ACN,Accenture plc,303.41,0.22,190.051B,27.78,34
